Date,OPEN,CLOSE,HIGH,LOW,MAx3,MAx2,MAx1,Ret,LN
01/03/2012,1274.75,1272.25,1280.00,1270.25,1241.55,1230.09,1232.41,NAN,NAN
01/04/2012,1272.00,1273.25,1274.75,1262.75,1244.43,1231.78,1232.82,1.000786,0.0007857
01/05/2012,1273.25,1273.25,1278.00,1259.75,1247.05,1233.41,1233.22,1,0
01/06/2012,1273.25,1274.00,1282.25,1266.75,1249.50,1235.00,1233.63,1.00059,0.00058887
01/09/2012,1274.75,1275.50,1277.75,1267.25,1251.86,1236.59,1234.04,1.00118,0.001176701
01/10/2012,1275.00,1286.25,1292.00,1274.50,1254.99,1238.54,1234.56,1.00843,0.00839275
01/11/2012,1286.00,1288.00,1289.50,1279.25,1257.99,1240.48,1235.09,1.00136,0.00135962
01/12/2012,1288.25,1292.25,1297.50,1280.75,1261.11,1242.51,1235.66,1.0033,0.003294257
01/13/2012,1292.00,1289.50,1295.00,1272.75,1263.69,1244.35,1236.20,0.99787,-0.002130339
01/16/2012,1285.25,1291.50,1292.25,1281.25,1266.22,1246.20,1236.75,1.00155,0.001549787
01/17/2012,1290.50,1289.50,1302.50,1286.00,1268.33,1247.90,1237.27,0.99845,-0.001549787
01/18/2012,1289.00,1302.75,1304.25,1286.50,1271.46,1250.05,1237.92,1.01028,0.010222868
01/19/2012,1302.75,1310.25,1311.50,1299.25,1274.99,1252.41,1238.64,1.00576,0.005740544
01/20/2012,1310.00,1311.25,1311.75,1304.75,1278.28,1254.72,1239.37,1.00076,0.000762922
01/23/2012,1307.50,1311.25,1318.25,1305.00,1281.28,1256.93,1240.08,1,0
01/24/2012,1311.25,1311.50,1311.75,1301.50,1284.03,1259.07,1240.79,1.00019,0.00019064
01/25/2012,1311.25,1320.50,1324.75,1303.00,1287.34,1261.48,1241.59,1.00686,0.006838932
01/26/2012,1320.75,1315.00,1329.75,1309.25,1289.86,1263.58,1242.32,0.99583,-0.004173787
01/27/2012,1314.75,1312.75,1319.25,1307.00,1291.94,1265.51,1243.02,0.99829,-0.001712492
01/30/2012,1314.00,1309.00,1314.50,1296.00,1293.49,1267.22,1243.67,0.99714,-0.002860687
01/31/2012,1309.00,1308.00,1317.50,1302.25,1294.81,1268.81,1244.31,0.99924,-0.000764234
02/01/2012,1307.75,1320.25,1327.00,1303.75,1297.12,1270.83,1245.07,1.00937,0.00932186
